image,plate,confidence,method
CG18_jpg.rf.75f8a02cb94a85fa80596d42c040a924.jpg,CG07CA7784,0.9761402904987335,first_pass
video11_3940_jpg.rf.2e36e1f9493cec5d1ebe1e290a740777.jpg,MH01BT4302,0.9996039867401123,first_pass
HP12_jpg.rf.f9d78f101f5a6113ed8f5670696f8dbc.jpg,HP36E3330,0.9995801448822021,first_pass
AP19_jpg.rf.a2e4eacb8d8db13e94a154eabfe29ae6.jpg,AP04M7627,0.9644574522972107,first_pass
car-wbs-KL60N5344_00000_jpeg.rf.44121f3cd966c5b92bb2f796b2fab314.jpg,KL60N5344,0.9987948536872864,first_pass
JK9_jpg.rf.e1f9f61d457c8265855a8c6d6afc95d9.jpg,JK02CD0461,0.9852245450019836,first_pass
e706cec0-783a-42bc-b934-64788481cd92___4-Innova-After-2-jpg_jpeg.rf.4db44389a9f2121d894b36328db12424.jpg,MH04DW8351,0.9653125405311584,first_pass
video5_190_jpg.rf.d881b8e68bbd879f01b76b45a0794bf4.jpg,MH03CS6266,0.9997171759605408,first_pass
video11_4780_jpg.rf.812cdc6ecaf1c15a561d1927c72783ad.jpg,MH03CP1328,0.9888706207275391,first_pass
video4_3320_jpg.rf.63bdea60e0475dcf55690086bc1eda6c.jpg,MH01AL9693,0.9998642802238464,first_pass
video10_1290_jpg.rf.4dd46bccde67a36319f10b8ade8e107e.jpg,MH05DS8679,0.998767077922821,first_pass
video8_1370_jpg.rf.05eedc0c56493bded3e4641febada8ba.jpg,MH01BG7161,0.9309543967247009,first_pass
video4_2490_jpg.rf.57a009a0109f4e5ffb5df8cbaef35eed.jpg,MH02AK5481,0.9832070767879486,first_pass
6e52e238-927b-46e0-a8f1-5f77ef1ecf9f___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan-terrano-rear_jpg.rf.2c7e1b3805ddd0fabc38247f42b987f0.jpg,RJ27TC0530,0.9771850109100342,first_pass
HP14_jpg.rf.9adb767e6cf738651d07060871bb38be.jpg,HP39G1539,0.9272611141204834,first_pass
video3_600_jpg.rf.5ac1dac47f226b7898134d554a722c7d.jpg,MH02ER9194,0.9805746078491211,first_pass
DL19_jpg.rf.feed1ab654ed8b5abdba9c7b3fb74852.jpg,DL1CT2782,0.9451341032981873,first_pass
car-wbs-MH20CS1941_00000_jpeg.rf.34757617a7873e6f3f3e964bad565eae.jpg,MH20CS1941,0.9978022575378418,first_pass
a508ecb5-bfdd-46ba-8640-bb827b7c089c___Volkswagen-Polo-jpg_jpeg.rf.d5ae5352dd0239f4de365921a901598e.jpg,MH14EH5819,0.9536373019218445,first_pass
ML13_jpg.rf.f5b3e46be7146f21f4cb1503dda69092.jpg,ML05H1958,0.9585988521575928,first_pass
RJ4_jpg.rf.e2ed538a27f9a24c3d3807c271372ddb.jpg,RJ20CD5118,0.9972497820854187,first_pass
MP2_jpg.rf.91187668fe2a5c5b114e33529bbf8442.jpg,HP04CL8840,0.8689126968383789,first_pass
dd58e02d-51a5-4bfd-87af-ff51c576086e___2014-mahindra-scorpio-suv-10-jpg_jpeg.rf.588d3c8845fbec79f8dbe461147ef178.jpg,MH46Z8892,0.9838930368423462,first_pass
OD6_jpg.rf.c5e9522500189e7a1dd4f2984a2acb3f.jpg,OR08F1001,0.9590929746627808,first_pass
